close,color,current_close,high,low,open,prev_close,symbol,timestamp,volume
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:29,0.48698
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:30,0.49298
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:32,0.55735
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:33,0.57031
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:34,0.59044
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:35,0.59099
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:37,0.60923
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:38,0.61796
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:39,0.61808
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:40,0.64919
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:42,0.64919
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:43,0.65432
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:44,0.66556
116958.96,red,116958.96,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:46,3.0036
116958.96,red,116958.96,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:47,3.00374
116958.96,red,116958.96,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:48,3.01479
116958.96,red,116958.96,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:49,3.03206
116958.97,red,116958.97,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:51,3.05127
116958.97,red,116958.97,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:52,3.05127
116958.97,red,116958.97,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:53,3.05951
116958.96,red,116958.96,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:54,3.05978
116958.96,red,116958.96,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:56,3.06441
116958.97,red,116958.97,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:57,3.06607
116958.97,red,116958.97,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:59,3.23665
116958.97,red,116958.97,116958.98,116958.96,116958.98,116958.97,BTCUSDT,2025-09-19 11:17:00,3.43692
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:01,0.00162
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:03,0.00245
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:04,0.014
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:05,0.03009
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:06,0.03043
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:08,0.0327
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:09,0.03296
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:10,0.038
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:12,0.04016
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:13,0.04054
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:14,0.04982
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:15,0.05112
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:17,0.05492
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:18,0.05676
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:19,0.06406
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:21,0.06471
116958.96,red,116958.96,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:22,0.06778
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:23,0.07319
116958.97,red,116958.97,116958.97,116958.96,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:24,0.09533
116938.61,red,116938.61,116958.97,116938.61,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:26,4.65527
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:27,4.96124
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:28,4.99645
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:30,5.02444
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:31,5.029
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:32,5.02916
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:33,5.07299
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:35,5.08178
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:36,5.08229
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:37,5.09478
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:39,5.10852
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:40,5.10902
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:41,5.10919
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:42,5.11622
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:44,5.13205
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:45,5.13317
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:46,5.1335
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:48,5.14714
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:49,5.16856
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:50,5.18642
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:52,5.20116
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:53,5.20509
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:55,5.21459
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:56,5.21701
116921.05,red,116921.05,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:57,5.22241
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:17:59,5.2425
116921.04,red,116921.04,116958.97,116921.04,116958.97,116958.97,BTCUSDT,2025-09-19 11:18:00,5.24435
116921.05,red,116921.05,116921.05,116921.05,116921.05,116921.05,BTCUSDT,2025-09-19 11:18:01,0.0
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:03,0.01153
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:04,0.01162
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:05,0.14851
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:06,0.15097
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:08,0.16007
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:09,0.16952
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:10,0.17693
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:11,0.20213
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:13,0.20992
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:14,0.21011
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:15,0.21248
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:17,0.21421
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:18,0.21525
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:19,0.21543
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:21,0.22691
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:22,0.22701
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:23,0.22808
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:24,0.22818
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:26,0.23799
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:27,0.31563
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:28,0.31628
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:29,0.31638
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:31,0.31657
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:32,0.31823
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:34,0.32108
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:35,0.32746
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:36,0.34814
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:38,0.35224
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:39,0.35525
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:40,0.38525
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:41,0.40278
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:43,0.43676
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:44,0.45862
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:45,0.48253
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:47,0.4827
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:48,0.49408
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:49,0.49464
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:50,0.49628
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:52,0.53991
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:53,0.54409
116921.05,red,116921.05,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:54,0.57192
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:56,0.57822
116921.04,red,116921.04,116921.05,116921.04,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:57,0.57832
116919.47,red,116919.47,116921.05,116919.47,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:58,1.40376
116919.47,red,116919.47,116921.05,116919.47,116921.04,116921.05,BTCUSDT,2025-09-19 11:18:59,1.40486
116919.48,green,116919.48,116919.48,116919.48,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:01,0.0001
